Наименование,Категория,Единиц в мешке,Вес мешка,Цена за ед.,Цена мешка,Цена за 1 кг
Мужской микс весна-лето  MEN / S,секонд (extra/1 кат),~33 вещи,10 кг,~138₽,4550₽,6.5€
Мужской микс весна-лето  MEN / S,секонд (extra/1 кат),~30 вещей,10 кг,~152₽,4550₽,6.5€
Мужской микс весна-лето  MEN / S,секонд (extra/1 кат),~34 вещи,10 кг,~134₽,4550₽,6.5€
Рабочая одежда  82252,секонд (cream),~47 вещей,25 кг,~343₽,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),~38 вещей,25 кг,~424₽,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),~46 вещей,25 кг,~350₽,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),,25 кг,,16100₽,9.2€
Рабочая одежда  82252,секонд (cream),~39 вещей,25 кг,~414₽,16110₽,8.95€
Спорт экстра SPORT EXTRA,секонд (extra),~156 вещей,24.8 кг,~98₽,15277₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~141 вещь,24.3 кг,~107₽,14969₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~163 вещи,25 кг,~95₽,15400₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~147 вещей,25 кг,~105₽,15400₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~160 вещей,25 кг,~97₽,15400₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~140 вещей,25 кг,~110₽,15400₽,8.8€
Спорт экстра SPORT EXTRA,секонд (extra),~146 вещей,24.2 кг,~103₽,14907₽,8.8€
Спортивный микс SPORT ENGLAND,секонд (extra),~83 вещи,22.5 кг,~200₽,16538₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~90 вещей,24.5 кг,~201₽,18008₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~105 вещей,25 кг,~175₽,18375₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~91 вещь,24.5 кг,~198₽,18008₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~113 вещей,25 кг,~163₽,18375₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~91 вещь,25 кг,~202₽,18375₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~77 вещей,25 кг,~239₽,18375₽,10.5€
Спортивный микс SPORT ENGLAND,секонд (extra),~85 вещей,24.8 кг,~215₽,18228₽,10.5€
Флис микс 25302,секонд (extra/1 кат),~60 вещей,24.3 кг,~112₽,6719₽,3.95€
Флис микс 25302,секонд (extra/1 кат),~56 вещей,24.9 кг,~123₽,6885₽,3.95€
Флис микс 25302,секонд (extra/1 кат),~65 вещей,25.3 кг,~108₽,6995₽,3.95€
Флис микс 95882,секонд (cream/extra),~58 вещей,23.8 кг,~322₽,18659₽,11.2€
Флис микс 95882,секонд (cream/extra),~57 вещей,25 кг,~344₽,19600₽,11.2€
Флис микс 95882,секонд (cream/extra),~60 вещей,25 кг,~327₽,19600₽,11.2€
Флис микс 95882,секонд (cream/extra),~55 вещей,24.2 кг,~345₽,18973₽,11.2€
Флис микс 95882,секонд (cream/extra),~70 вещей,25 кг,~280₽,19600₽,11.2€
"Брюки хлопок, джинсы мужские  95922",секонд (cream/extra),~44 вещи,25 кг,~329₽,14438₽,8.25€
Гавайки 55020,секонд (extra),~151 вещь,30.7 кг,~85₽,12787₽,5.95€
Гавайки 55020,секонд (extra),~117 вещей,26.2 кг,~94₽,10912₽,5.95€
Гавайки 55020,секонд (extra),~147 вещей,29.2 кг,~83₽,12162₽,5.95€
Гавайки 55020,секонд (extra),~139 вещей,27.7 кг,~83₽,11537₽,5.95€
Гавайки 55020,секонд (extra),~137 вещей,26.8 кг,~82₽,11162₽,5.95€
Гавайки 55020,секонд (extra),~165 вещей,32.6 кг,~83₽,13578₽,5.95€
Гавайки 55020,секонд (extra),~135 вещей,28.15 кг,~87₽,11724₽,5.95€
Гавайки 55020,секонд (extra),~145 вещей,30.3 кг,~88₽,12620₽,5.95€
Декоративные подушки PAGALVĖLĖS,секонд (extra),~26 вещей,9.6 кг,~123₽,3192₽,4.75€
Декоративные подушки PAGALVĖLĖS,секонд (extra),~33 вещи,9.5 кг,~96₽,3159₽,4.75€
Декоративные подушки PAGALVĖLĖS,секонд (extra),~29 вещей,9.9 кг,~114₽,3292₽,4.75€
Декоративные подушки PAGALVĖLĖS,секонд (extra),~25 вещей,11.5 кг,~153₽,3824₽,4.75€
Декоративные подушки PAGALVĖLĖS,секонд (extra),~25 вещей,9.3 кг,~124₽,3092₽,4.75€
Джинсы мужские классические  21662,секонд (extra/1 кат),~40 вещей,24.3 кг,~261₽,10410₽,5.95€
Домашний обиход  80672,секонд (cream),~50 вещей,25 кг,~263₽,13125₽,7.5€
Домашний обиход  80672,секонд (cream),,25 кг,,13125₽,7.5€
Домашний обиход  80672,секонд (cream),,25 кг,,13125₽,7.5€
Домашний обиход (ПДО) микс HM-MIX,секонд (cream),~58 вещей,22.2 кг,~213₽,12354₽,7.95€
Домашний обиход (ПДО) микс HM-MIX,секонд (cream),~48 вещей,17 кг,~198₽,9461₽,7.95€
Домашний обиход (ПДО) микс HM-MIX,секонд (cream),,22 кг,,12243₽,7.95€
Домашний обиход (ПДО) микс HM-MIX,секонд (cream),,23.7 кг,,13189₽,7.95€
Куртки  94742,секонд (cream/extra),~26 вещей,25 кг,~616₽,16013₽,9.15€
Куртки  94742,секонд (cream/extra),~34 вещи,25 кг,~471₽,16013₽,9.15€
Куртки  94742,секонд (cream/extra),~27 вещей,25 кг,~610₽,16470₽,9.15€
Куртки зима  WINTER JACKETS PREMIUM,секонд (extra),~20 вещей,20 кг,~525₽,10500₽,7.5€
Куртки зима взрослые 85341,секонд (cream/extra),~18 вещей,15.8 кг,~673₽,12111₽,10.95€
Куртки зима взрослые 94741,секонд (extra),~26 вещей,17.6 кг,~368₽,9548₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~17 вещей,17.5 кг,~559₽,9494₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~24 вещи,15.65 кг,~354₽,8490₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~22 вещи,20 кг,~494₽,10850₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~18 вещей,15.2 кг,~459₽,8246₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~21 вещь,17.2 кг,~445₽,9331₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~23 вещи,17.5 кг,~413₽,9494₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~21 вещь,15.8 кг,~420₽,8816₽,7.75€
Куртки зима взрослые 94741,секонд (extra),~21 вещь,14.1 кг,~375₽,7868₽,7.75€
Куртки зима взрослые 94741,секонд (extra),,14 кг,,7812₽,7.75€
Куртки зима взрослые 94741,секонд (extra),,15.4 кг,,8593₽,7.75€
Леггинсы 92081,секонд (extra),~123 вещи,22 кг,~94₽,11550₽,7.5€
Мужские рубашки SHIRTS-M,секонд (extra),~48 вещей,9.95 кг,~109₽,5224₽,7.5€
Мужские рубашки SHIRTS-M,секонд (extra),~46 вещей,10 кг,~115₽,5250₽,7.5€
Нижнее белье UNDERW,секонд (cream),~127 вещей,10.15 кг,~87₽,10925₽,14.95€
Нижнее белье UNDERW,секонд (cream),,10 кг,,10764₽,14.95€
Обувь зима демисезон  SH-WNT,секонд (cream/extra),,15 кг,,8586₽,7.95€
"Одеяло, подушки PŪKAI",секонд (extra),~28 вещей,31 кг,~295₽,8258₽,3.7€
"Пижамы, ночные рубашки, халаты",секонд (cream),~55 вещей,25 кг,~214₽,11747₽,6.71€
Платья лето 91341,секонд (extra),~80 вещей,19.6 кг,~124₽,9878₽,7.2€
Платья лето 91341,секонд (extra),~87 вещей,21.8 кг,~127₽,10987₽,7.2€
Платья лето 91341,секонд (extra),~79 вещей,20 кг,~128₽,10080₽,7.2€
Рубашки джинсовые муж/жен 28027,секонд (extra/1 кат),~115 вещей,40.1 кг,~84₽,9579₽,3.41€
Рубашки джинсовые муж/жен 28027,секонд (extra/1 кат),~105 вещей,40.3 кг,~92₽,9627₽,3.41€
Рубашки мужские тёплые  83242,секонд (cream),,25 кг,,17910₽,9.95€
Свитера женские 93811,секонд (extra),~46 вещей,17.6 кг,~111₽,5082₽,4.13€
Свитера женские 93811,секонд (extra),~43 вещи,17.6 кг,~119₽,5082₽,4.13€
Свитера женские 93811,секонд (extra),~46 вещей,16.9 кг,~107₽,4880₽,4.13€
Свитера женские 93811,секонд (extra),~40 вещей,17.9 кг,~130₽,5169₽,4.13€
Толстовки 84782,секонд (cream),~56 вещей,24.35 кг,~425₽,23778₽,13.95€
Толстовки 84782,секонд (cream),,25 кг,,24413₽,13.95€
Толстовки 84782,секонд (cream),,25 кг,,24413₽,13.95€
Толстовки 94552,секонд (cream/extra),~63 вещи,25.1 кг,~222₽,13968₽,7.95€
Толстовки 94552,секонд (cream/extra),~60 вещей,25 кг,~232₽,13913₽,7.95€
Толстовки 94552,секонд (cream/extra),~62 вещи,25 кг,~225₽,13913₽,7.95€
Толстовки 94552,секонд (cream/extra),~60 вещей,25 кг,~232₽,13913₽,7.95€
Толстовки 94552,секонд (cream/extra),~59 вещей,25 кг,~243₽,14310₽,7.95€
Толстовки SWEATSHIRTS,секонд (extra),~74 вещи,25 кг,~131₽,9673₽,5.3€
Флис микс жен/муж 95881,секонд (extra),~36 вещей,13.7 кг,~246₽,8828₽,8.95€
Футболки белые  64035,секонд (extra),~127 вещей,23.9 кг,~72₽,9034₽,5.4€
Футболки дл. рук. большие размеры жен. 93161,секонд (extra),~105 вещей,22.2 кг,~103₽,10800₽,6.95€
Футболки дл. рук. большие размеры жен. 93161,секонд (extra),,24.3 кг,,11822₽,6.95€
Футболки женские кр рук 90251,секонд (extra),~142 вещи,21.8 кг,~51₽,7210₽,4.73€
Футболки женские кр рук 90251,секонд (extra),~151 вещь,20.75 кг,~46₽,6863₽,4.73€
Футболки женские кр рук 90251,секонд (extra),~146 вещей,20.1 кг,~46₽,6648₽,4.73€
Футболки женские кр рук 90251,секонд (extra),~170 вещей,23.9 кг,~47₽,7905₽,4.73€
Футболки женские кр рук 90251,секонд (extra),~174 вещи,25 кг,~48₽,8269₽,4.73€
Футболки женские кр рук 90251,секонд (extra),~131 вещь,21.1 кг,~54₽,6979₽,4.73€
Футболки м/ж,секонд (cream/extra),~99 вещей,14.5 кг,~76₽,7498₽,7.39€
Футболки м/ж,секонд (cream/extra),~93 вещи,14.9 кг,~83₽,7705₽,7.39€
Футболки муж с дл рукав 81132,секонд (cream),,25 кг,,24300₽,13.5€
Футболки мужские 64049,секонд (extra/1 кат),~151 вещь,30.3 кг,~89₽,13362₽,6.3€
Футболки мужские 64049,секонд (extra/1 кат),~147 вещей,30.4 кг,~92₽,13406₽,6.3€
Футболки мужские 64049,секонд (extra/1 кат),~145 вещей,30.3 кг,~93₽,13362₽,6.3€
Футболки мужские 64049,секонд (extra/1 кат),~142 вещи,29.3 кг,~91₽,12921₽,6.3€
Футболки мужские T/SH-M,секонд (extra),,10 кг,,7665₽,10.95€
Футболки мужские T/SH-M,секонд (extra),,10 кг,,7665₽,10.95€
Футболки мужские T/SH-M,секонд (extra),,10 кг,,7665₽,10.95€
Футболки мужские T/SH-M,секонд (extra),,10 кг,,7884₽,10.95€
"Халаты, пижамы  CL-BTH EX",секонд (extra),~85 вещей,14.75 кг,~79₽,6711₽,6.5€
"Шарфы, шапки, перчатки зима HGS",секонд (extra),~67 вещей,10 кг,~75₽,5005₽,7.15€
Шорты 90961,секонд (extra),~110 вещей,22.4 кг,~93₽,10192₽,6.5€
Шорты 90961,секонд (extra),~110 вещей,24.5 кг,~102₽,11148₽,6.5€
Шорты мужские 58030,секонд (extra/1 кат),~107 вещей,28.4 кг,~147₽,15705₽,7.9€
Шорты мужские 58030,секонд (extra/1 кат),~100 вещей,28.8 кг,~160₽,15926₽,7.9€
Шорты мужские 58030,секонд (extra/1 кат),~92 вещи,28.5 кг,~172₽,15761₽,7.9€
Штаны брюки женские  PN-W/EXTRA,секонд (extra),~65 вещей,20 кг,~129₽,8379₽,5.7€
Штаны Гавайки 92801,секонд (extra),~95 вещей,23.5 кг,~130₽,12338₽,7.5€
Штаны Гавайки 92801,секонд (extra),~96 вещей,21.3 кг,~117₽,11183₽,7.5€
Штаны спортивные хб 91002,секонд (extra),~69 вещей,24.8 кг,~231₽,15884₽,9.15€
Штаны спортивные хб 91002,секонд (extra),~67 вещей,24.8 кг,~238₽,15884₽,9.15€
Штаны спортивные хб 91002,секонд (extra),,25 кг,,16013₽,9.15€
Штаны спортивные хб 91002,секонд (extra),,25 кг,,16013₽,9.15€
Штаны спортивные хб 91002,секонд (extra),,25 кг,,16013₽,9.15€
Штаны хб 21002,секонд (extra/1 кат),~77 вещей,25 кг,~130₽,9975₽,5.7€
Штаны хб 21002,секонд (extra/1 кат),~74 вещи,25 кг,~135₽,9975₽,5.7€
Штаны хб 21002,секонд (extra/1 кат),~75 вещей,25.2 кг,~135₽,10055₽,5.7€
Штаны хб 21002,секонд (extra/1 кат),~71 вещь,25 кг,~141₽,9975₽,5.7€
Штаны хб 21002,секонд (extra/1 кат),~75 вещей,25 кг,~133₽,9975₽,5.7€
"ШТАНЫ, ДЖИНСЫ",секонд (cream/extra),~49 вещей,26 кг,~221₽,10824₽,5.95€
Юбки,секонд (cream/extra),~57 вещей,14.2 кг,~63₽,3554₽,3.58€
Детский флис CHILD FLEECE,секонд (extra),~55 вещей,15 кг,~107₽,5880₽,5.6€
Детский флис CHILD FLEECE,секонд (extra),~53 вещи,15 кг,~111₽,5880₽,5.6€
Жилетки детские CHILD JILET,секонд (extra),~40 вещей,10 кг,~118₽,4690₽,6.7€
Микс детский зима 82441,секонд (cream),~164 вещи,23.5 кг,~68₽,11042₽,6.71€
Микс детский зима 82441,секонд (cream),~166 вещей,21.7 кг,~62₽,10196₽,6.71€
Микс детский зима 82441,секонд (cream),~137 вещей,19.6 кг,~68₽,9210₽,6.71€
Микс детский зима 82441,секонд (cream),~150 вещей,19.9 кг,~63₽,9351₽,6.71€
Микс детский зима 82441,секонд (cream),~126 вещей,18.7 кг,~72₽,9038₽,6.71€
Микс детский зима 82441,секонд (cream),~148 вещей,20.8 кг,~67₽,9773₽,6.71€
Микс детский зима 82441,секонд (cream),~138 вещей,19.1 кг,~67₽,9231₽,6.71€
Микс детский зима 86442,секонд (cream),,24.5 кг,,17579₽,10.25€
